Location,geo_loc
Banashankari,"(12.9152208, 77.573598)"
Basavanagudi,"(12.9417261, 77.5755021)"
Mysore Road,"(12.9474082, 77.5330869)"
Jayanagar,"(12.9292731, 77.5824229)"
Kumaraswamy Layout,"(12.9081487, 77.5553179)"
Rajarajeshwari Nagar,"(12.9274413, 77.5155224)"
Vijay Nagar,"(12.96595445, 77.61253320881664)"
Uttarahalli,"(12.9055682, 77.5455438)"
JP Nagar,"(12.9072515, 77.5782713)"
South Bangalore,"(12.8845448, 77.5701276)"
City Market,"(12.965717999999999, 77.5762705372058)"
Nagarbhavi,"(12.95961755, 77.51126721318181)"
Bannerghatta Road,"(12.9399392, 77.602327)"
BTM,"(12.911275849999999, 77.60456543431182)"
Kanakapura Road,"(12.8982687, 77.5719227)"
Bommanahalli,"(12.9089453, 77.6239038)"
,"(46.3144754, 11.0480288)"
CV Raman Nagar,"(12.9855509, 77.668072)"
Electronic City,"(12.8563536, 77.6636073)"
HSR,"(12.9116225, 77.6388622)"
Marathahalli,"(12.9552572, 77.6984163)"
Sarjapur Road,"(12.924299, 77.6517653)"
Wilson Garden,"(12.9489339, 77.5968273)"
Shanti Nagar,"(12.9575547, 77.5979099)"
Koramangala 5th Block,"(12.923525399999999, 77.62228735395182)"
Koramangala 8th Block,"(12.9417812, 77.6160146)"
Richmond Road,"(12.9663955, 77.6074733)"
Koramangala 7th Block,"(12.923525399999999, 77.62228735395182)"
Jalahalli,"(13.0464531, 77.5483803)"
Koramangala 4th Block,"(12.93433385, 77.63040639553275)"
Bellandur,"(12.93577245, 77.66676103753434)"
Whitefield,"(12.9696365, 77.7497448)"
East Bangalore,"(12.9845687, 77.73766474151809)"
Old Airport Road,"(12.9592241, 77.6615183)"
Indiranagar,"(12.9732913, 77.6404672)"
Koramangala 1st Block,"(12.923525399999999, 77.62228735395182)"
Frazer Town,"(12.996845, 77.6130165)"
RT Nagar,"(13.0227204, 77.595715)"
MG Road,"(12.9741854, 77.6124135)"
Brigade Road,"(12.9714852, 77.6069655)"
Lavelle Road,"(12.9750062, 77.5998217)"
Church Street,"(12.9750521, 77.6046959)"
Ulsoor,"(12.9778793, 77.6246697)"
Residency Road,"(12.9672379, 77.5993533)"
Shivajinagar,"(12.986391, 77.6075416)"
Infantry Road,"(12.9831774, 77.595831)"
St. Marks Road,"(0.0, 0.0)"
Cunningham Road,"(12.9845781, 77.5970428)"
Race Course Road,"(12.9836817, 77.5775299)"
Commercial Street,"(12.9821931, 77.6083132)"
Vasanth Nagar,"(12.988721250000001, 77.58516877601824)"
HBR Layout,"(13.0358698, 77.6323597)"
Domlur,"(12.9624669, 77.6381958)"
Ejipura,"(12.945245, 77.6269144)"
Jeevan Bhima Nagar,"(12.9678074, 77.6568367)"
Old Madras Road,"(13.0076091, 77.6900228)"
Malleshwaram,"(13.0027353, 77.5703253)"
Seshadripuram,"(12.9931876, 77.5753419)"
Kammanahalli,"(13.0093455, 77.6377094)"
Koramangala 6th Block,"(12.9400321, 77.6203272)"
Majestic,"(12.9757079, 77.5728757)"
Langford Town,"(12.957998, 77.6037312)"
Central Bangalore,"(13.0101286, 77.5548006)"
Sanjay Nagar,"(12.9578658, 77.6958748)"
Brookefield,"(12.9668213, 77.7168891)"
"ITPL Main Road, Whitefield","(12.9866817, 77.7318033)"
"Varthur Main Road, Whitefield","(12.9414662, 77.7470942)"
KR Puram,"(13.007516, 77.695935)"
Koramangala 2nd Block,"(12.9243509, 77.6255562)"
Koramangala 3rd Block,"(12.9271867, 77.6266252)"
Koramangala,"(13.2923988, 77.7519261)"
Hosur Road,"(12.9507841, 77.605541)"
Rajajinagar,"(12.9882338, 77.554883)"
Banaswadi,"(13.0141618, 77.6518539)"
North Bangalore,"(12.9767936, 77.590082)"
Nagawara,"(13.0412234, 77.6249525)"
Hennur,"(13.0258087, 77.6305067)"
Kalyan Nagar,"(13.0221416, 77.6403368)"
New BEL Road,"(13.0435078, 77.5611426)"
Jakkur,"(13.0784743, 77.6068938)"
Rammurthy Nagar,"(0.0, 0.0)"
Thippasandra,"(12.973936, 77.6509982)"
Kaggadasapura,"(12.9846713, 77.6790908)"
Hebbal,"(13.0382184, 77.5919)"
Kengeri,"(12.9176571, 77.4837568)"
Sankey Road,"(13.0050901, 77.5810085)"
Sadashiv Nagar,"(0.0, 0.0)"
Basaveshwara Nagar,"(12.9931607, 77.5394749)"
Yeshwantpur,"(13.02383, 77.5529215)"
West Bangalore,"(12.9848519, 77.5400626)"
Magadi Road,"(12.9776801, 77.5647384)"
Yelahanka,"(13.1006982, 77.5963454)"
Sahakara Nagar,"(13.0621474, 77.58006135480495)"
Peenya,"(13.0329419, 77.5273253)"
